,cod_contato,telefone,email,instagram,facebook,linkedin,kuwei,whatsapp
0,634d6e16,nao_informado,nao_informado,@2020brasi2020,@2020brasi2020,nao_informado,nao_informado,nao_informado
1,bba5daa3,nao_informado,brasi20202020@email.com.br,@brasi20202020,@brasi20202020,nao_informado,brasi20202020,11 91013-5496
2,acb1ec0c,11 91456-5784,ratoeiratartarugatartaruga@email.com.br,nao_informado,@ratoeiratartarugatartaruga,ratoeiratartarugatartaruga,ratoeiratartarugatartaruga,nao_informado
3,69068f18,nao_informado,nao_informado,nao_informado,nao_informado,nao_informado,nao_informado,11 91921-5142
4,adee1f71,11 91217-5377,nao_informado,nao_informado,@brasiratoeira_,brasiratoeira_,nao_informado,11 91651-5068
5,7d815689,nao_informado,nao_informado,nao_informado,nao_informado,ratoeiratartaruga2020,nao_informado,11 91786-5105
6,6cc6efe9,11 91167-5644,_ratoeiraratoeira@email.com.br,@_ratoeiraratoeira,@_ratoeiraratoeira,_ratoeiraratoeira,nao_informado,11 91887-5843
7,e2fe4818,11 91030-5633,ratoeira_ratoeira@email.com.br,@ratoeira_ratoeira,@ratoeira_ratoeira,ratoeira_ratoeira,nao_informado,nao_informado
8,db0ef916,11 91664-5263,brasibrasi2020@email.com.br,nao_informado,@brasibrasi2020,nao_informado,nao_informado,11 91558-5223
9,1ef381f5,nao_informado,nao_informado,@ratoeiratartaruga2020,@ratoeiratartaruga2020,nao_informado,ratoeiratartaruga2020,nao_informado
10,b2741866,nao_informado,ratoeira__@email.com.br,nao_informado,nao_informado,nao_informado,ratoeira__,nao_informado
11,7e723ce9,nao_informado,nao_informado,@ratoeirabrasitartaruga,@ratoeirabrasitartaruga,nao_informado,ratoeirabrasitartaruga,11 91432-5601
12,d16ad133,11 91374-5349,2020_ratoeira@email.com.br,@2020_ratoeira,nao_informado,nao_informado,nao_informado,nao_informado
13,eded57fa,11 91441-5564,nao_informado,@brasi2020tartaruga,nao_informado,nao_informado,brasi2020tartaruga,11 91535-5098
14,603a9b9b,nao_informado,2020brasiratoeira@email.com.br,nao_informado,nao_informado,nao_informado,nao_informado,11 91438-5397
15,0046f312,11 91954-5560,nao_informado,@brasi2020brasi,nao_informado,brasi2020brasi,nao_informado,11 91953-5213
16,ab3064b7,nao_informado,nao_informado,nao_informado,@_ratoeiratartaruga,nao_informado,_ratoeiratartaruga,nao_informado
17,bf8a8c16,11 91213-5869,2020ratoeiratartaruga@email.com.br,nao_informado,nao_informado,nao_informado,2020ratoeiratartaruga,11 91820-5070
18,1ac4b04b,11 91087-5547,nao_informado,nao_informado,nao_informado,nao_informado,nao_informado,nao_informado
19,58b1b1e8,nao_informado,nao_informado,nao_informado,@_2020_,nao_informado,_2020_,nao_informado
20,568a164b,11 91382-5644,tartaruga_2020@email.com.br,@tartaruga_2020,nao_informado,tartaruga_2020,nao_informado,11 91117-5017
21,fa917638,nao_informado,nao_informado,@2020tartarugaratoeira,nao_informado,nao_informado,2020tartarugaratoeira,11 91233-5382
22,b8b4b600,11 91530-5749,nao_informado,nao_informado,nao_informado,nao_informado,ratoeira_ratoeira,11 91302-5656
23,5f102a72,nao_informado,2020_ratoeira@email.com.br,nao_informado,@2020_ratoeira,2020_ratoeira,2020_ratoeira,11 91325-5366
24,d39679c5,nao_informado,nao_informado,@tartaruga_ratoeira,@tartaruga_ratoeira,nao_informado,tartaruga_ratoeira,11 91735-5077
25,c5cd3850,nao_informado,nao_informado,@_brasi_,@_brasi_,_brasi_,nao_informado,nao_informado
26,2313495d,11 91774-5135,nao_informado,@brasitartaruga2020,nao_informado,brasitartaruga2020,brasitartaruga2020,11 91281-5855
27,5e9b48a9,11 91420-5128,ratoeirabrasi_@email.com.br,nao_informado,@ratoeirabrasi_,nao_informado,nao_informado,nao_informado
28,418cb37b,11 91356-5273,nao_informado,nao_informado,nao_informado,tartaruga_ratoeira,nao_informado,11 91981-5002
29,8a9c5316,nao_informado,nao_informado,@brasi2020tartaruga,@brasi2020tartaruga,nao_informado,nao_informado,nao_informado
30,19ef70de,11 91523-5368,nao_informado,nao_informado,nao_informado,_tartarugatartaruga,_tartarugatartaruga,nao_informado
31,52860dfc,11 91764-5772,2020ratoeiraratoeira@email.com.br,@2020ratoeiraratoeira,@2020ratoeiraratoeira,nao_informado,2020ratoeiraratoeira,11 91522-5134
32,b69221de,11 91464-5854,nao_informado,@ratoeirabrasi2020,@ratoeirabrasi2020,nao_informado,ratoeirabrasi2020,11 91906-5903
33,473d81ec,11 91057-5358,brasi2020_@email.com.br,nao_informado,@brasi2020_,nao_informado,nao_informado,nao_informado
34,6532feae,11 91142-5392,nao_informado,@2020brasiratoeira,@2020brasiratoeira,nao_informado,2020brasiratoeira,11 91714-5294
35,7db3183a,nao_informado,brasibrasiratoeira@email.com.br,@brasibrasiratoeira,nao_informado,nao_informado,nao_informado,nao_informado
36,3eb26a8b,nao_informado,brasibrasi_@email.com.br,@brasibrasi_,nao_informado,nao_informado,nao_informado,11 91154-5793
37,d75dc0f9,11 91784-5068,ratoeira_2020@email.com.br,nao_informado,@ratoeira_2020,ratoeira_2020,nao_informado,nao_informado
38,a4adfa27,11 91716-5974,_tartarugatartaruga@email.com.br,nao_informado,@_tartarugatartaruga,_tartarugatartaruga,nao_informado,nao_informado
39,df41bbaf,11 91253-5244,nao_informado,@2020ratoeira2020,nao_informado,2020ratoeira2020,2020ratoeira2020,11 91229-5210
40,0e29b4d8,11 91397-5231,brasi2020_@email.com.br,nao_informado,@brasi2020_,brasi2020_,nao_informado,11 91669-5595
41,d0995158,nao_informado,ratoeira__@email.com.br,nao_informado,nao_informado,nao_informado,nao_informado,11 91533-5531
42,41dc430f,11 91521-5716,nao_informado,@_brasi_,nao_informado,_brasi_,_brasi_,11 91982-5869
43,da69f761,nao_informado,nao_informado,nao_informado,@_2020_,nao_informado,nao_informado,11 91791-5076
44,fc1567ca,nao_informado,2020ratoeira2020@email.com.br,@2020ratoeira2020,nao_informado,2020ratoeira2020,2020ratoeira2020,nao_informado
45,3dea0bd0,11 91796-5423,nao_informado,@_ratoeira_,@_ratoeira_,nao_informado,nao_informado,11 91465-5543
46,c83448ce,nao_informado,nao_informado,nao_informado,@ratoeira2020brasi,nao_informado,ratoeira2020brasi,11 91319-5671
47,1125badb,11 91580-5850,nao_informado,@_brasi_,@_brasi_,nao_informado,nao_informado,nao_informado
48,ef7e7141,11 91132-5731,nao_informado,@tartarugatartaruga2020,@tartarugatartaruga2020,tartarugatartaruga2020,nao_informado,11 91574-5782
49,390ad17c,11 91271-5195,_brasibrasi@email.com.br,@_brasibrasi,@_brasibrasi,_brasibrasi,_brasibrasi,nao_informado
