,cod_pessoa,cpf,genero,nome,data_nascimento,cor_da_pele,data_criacao,data_alteracao
0,ef2f0d18,489.174.112-39,U,Nani Farias,2002-09-09,Branca,2026-07-15,2026-07-15
1,d2599bb6,288.562.479-21,M,Leonardo Rodrigues,1982-11-04,Preta,2026-07-15,2026-07-15
2,96379792,676.253.100-89,F,Zilda Helena Moreira,1991-01-13,Amarela,2026-07-15,2026-07-15
3,ff142568,182.798.865-81,M,Leandro Vinícius Pereira,1988-01-03,Branca,2026-07-15,2026-07-15
4,52631cfd,268.402.274-92,M,Gustavo Gabriel Bruno Duarte,1961-10-11,Parda,2026-07-15,2026-07-15
5,5e3a2195,675.740.490-24,F,Bruna Evelyn Rocha,1973-03-26,Preta,2026-07-15,2026-07-15
6,718406a2,622.822.357-58,F,Carla Tatiane Rodrigues,1996-05-19,Branca,2026-07-15,2026-07-15
7,8918f59e,811.456.528-40,U,Tony Leite,1976-07-20,Parda,2026-07-15,2026-07-15
8,96732b67,711.375.159-59,U,Noa Kai Sacha Castro,2001-07-28,Branca,2026-07-15,2026-07-15
9,898f9942,171.484.540-39,U,Duda Rene Dias,1986-05-16,Preta,2026-07-15,2026-07-15
10,91c9bcd7,837.399.858-42,U,Biel Jaci Correia,1960-01-29,Parda,2026-07-15,2026-07-15
11,89c3a817,231.608.310-81,M,Daniel Batista,1973-05-08,Amarela,2026-07-15,2026-07-15
12,18d54ecd,321.748.211-88,M,Elias Ricardo Santos,1980-10-13,Amarela,2026-07-15,2026-07-15
13,8a51bc70,467.264.635-39,F,Fernanda Maria Beatriz Coelho,1980-07-05,Branca,2026-07-15,2026-07-15
14,42d0014c,326.271.743-30,F,Evelyn Débora Aline Castro,1984-03-17,Branca,2026-07-15,2026-07-15
15,eb337b67,531.366.240-85,M,Jorge Gabriel Correia,1961-03-29,Branca,2026-07-15,2026-07-15
16,28e61795,511.582.563-56,F,Elaine Raquel Lopes,1961-07-22,Preta,2026-07-15,2026-07-15
17,cee867e3,324.311.884-83,M,Caio Alessandro Duarte,1967-05-15,Amarela,2026-07-15,2026-07-15
18,289b72c4,741.773.108-25,M,João Silva,1981-02-24,Amarela,2026-07-15,2026-07-15
19,e1255c4a,853.520.745-96,M,Adriano Alves,1997-01-07,Amarela,2026-07-15,2026-07-15
20,9cb6da0b,127.413.427-96,U,Jo Alves,1980-08-23,Parda,2026-07-15,2026-07-15
21,00b2b449,464.409.446-36,F,Gabriela Flávia Oliveira,1989-03-27,Parda,2026-07-15,2026-07-15
22,abeb982e,809.128.771-31,F,Fernanda Nayara Almeida,1980-12-02,Amarela,2026-07-15,2026-07-15
23,fb2ea85d,289.283.718-22,F,Lorena Jaqueline Luciana Lopes,1997-05-12,Preta,2026-07-15,2026-07-15
24,a8a7db6d,826.215.312-33,U,Gael Sales,1962-03-23,Preta,2026-07-15,2026-07-15
25,7b868e56,512.594.229-80,F,Camila Camila Eduarda Costa,1989-02-17,Amarela,2026-07-15,2026-07-15
26,0d4d4804,852.369.404-91,M,Eduardo Márcio Vitor Dias,1987-08-08,Preta,2026-07-15,2026-07-15
27,e9fa8473,679.129.543-33,F,Priscila Flávia Beatriz Ramos,1977-03-05,Branca,2026-07-15,2026-07-15
28,8993064a,787.536.221-91,M,Elias Correia,1994-08-30,Preta,2026-07-15,2026-07-15
29,7e1293e7,334.856.100-43,F,Tainá Vanessa Tainá Freitas,1960-02-27,Preta,2026-07-15,2026-07-15
30,66299238,290.493.350-59,M,Cláudio Ricardo Cláudio Martins,1996-11-06,Amarela,2026-07-15,2026-07-15
31,95f70b4e,890.532.490-16,U,Luca Ciel Monteiro,2001-10-08,Branca,2026-07-15,2026-07-15
32,18ab026b,567.112.120-52,M,Otávio Otávio Cristiano Azevedo,1968-06-15,Branca,2026-07-15,2026-07-15
33,2a4b7987,569.707.285-49,M,Thiago Otávio Nogueira,1984-03-03,Parda,2026-07-15,2026-07-15
34,610703d3,617.579.481-63,M,Diego Roberto Campos,1982-05-15,Branca,2026-07-15,2026-07-15
35,970e594b,625.215.799-34,U,Nani Pereira,1968-05-12,Amarela,2026-07-15,2026-07-15
36,0f7ddb34,810.490.410-89,U,Lee Gabi Nascimento,1965-02-11,Branca,2026-07-15,2026-07-15
37,35acd685,215.271.755-87,F,Bruna Paula Raquel Moura,1989-08-18,Parda,2026-07-15,2026-07-15
38,50d6eca1,260.105.312-96,U,Sacha Noa Joade Oliveira,1994-04-19,Preta,2026-07-15,2026-07-15
39,18d773af,228.837.266-80,U,Yves Luan Jade Rodrigues,1981-09-26,Parda,2026-07-15,2026-07-15
40,41087c74,673.339.523-62,M,Paulo Sérgio Freitas,1972-01-10,Branca,2026-07-15,2026-07-15
41,3f09714a,342.712.305-57,M,Igor Peixoto,1963-04-12,Parda,2026-07-15,2026-07-15
42,8d3cc46f,744.447.671-72,M,Renato Marcelo Fernando Carvalho,1965-01-15,Parda,2026-07-15,2026-07-15
43,6659e936,372.809.211-58,M,Ricardo Samuel Silva,1988-01-26,Branca,2026-07-15,2026-07-15
44,3973c30a,664.571.867-12,F,Daniela Patrícia Simone Ramos,1961-06-25,Branca,2026-07-15,2026-07-15
45,54976ffc,184.673.300-78,F,Nayara Nogueira,1979-05-19,Parda,2026-07-15,2026-07-15
46,bd4a772f,518.265.434-32,M,Roberto João Fernandes,1961-01-05,Parda,2026-07-15,2026-07-15
47,b646f90a,504.802.458-85,M,Gustavo Leandro Ribeiro,1982-05-29,Branca,2026-07-15,2026-07-15
48,2f566bdb,596.654.463-41,U,Ryan Sacha Pinto,1987-12-06,Amarela,2026-07-15,2026-07-15
49,cf702e58,641.629.375-78,F,Elaine Maria Tainá Gomes,1996-05-24,Amarela,2026-07-15,2026-07-15
50,dba96491,900.120.401-68,F,Bruna Aline Coelho,1974-02-16,Parda,2026-07-15,2026-07-15
51,9a6b952f,555.739.829-97,F,Geovana Priscila Moreira,1987-06-11,Parda,2026-07-15,2026-07-15
52,c7ead2cc,180.208.343-70,M,Adriano Daniel Leonardo Reis,1973-02-09,Preta,2026-07-15,2026-07-15
53,6568690c,266.453.385-35,U,Jaci Lee Yuri Fernandes,1964-04-15,Amarela,2026-07-15,2026-07-15
54,148414de,818.195.400-93,F,Nayara Fernandes,1990-12-01,Parda,2026-07-15,2026-07-15
55,628a4d89,858.165.787-60,M,Pedro Rodrigo Lima,1974-06-25,Amarela,2026-07-15,2026-07-15
56,4960cc67,384.673.179-98,M,Vinícius Paulo Batista,2000-09-26,Branca,2026-07-15,2026-07-15
57,cc9f65a9,366.258.515-96,F,Patrícia Evelyn Ramos,2002-05-30,Branca,2026-07-15,2026-07-15
58,e52f5ed8,729.239.872-92,U,Ari Fernandes,1984-05-08,Amarela,2026-07-15,2026-07-15
59,465c1c13,407.410.583-30,M,Diego Daniel Mário Reis,1978-01-09,Preta,2026-07-15,2026-07-15
60,9ba3e654,288.802.882-77,U,Mika Souza,1990-05-24,Preta,2026-07-15,2026-07-15
61,4eec1f1a,737.549.223-39,U,Noel Noel Batista,1971-06-02,Amarela,2026-07-15,2026-07-15
62,0fbfd231,521.378.865-18,M,Alexandre Vitor Pinto,1994-12-08,Preta,2026-07-15,2026-07-15
